time,open,high,low,close,volume
2025-07-16 08:45:00,65.282,65.344,65.253,65.294,307
2025-07-16 09:00:00,65.293,65.354,65.019,65.048,580
2025-07-16 09:15:00,65.051,65.273,65.046,65.217,394
2025-07-16 09:30:00,65.216,65.273,65.107,65.259,460
2025-07-16 09:45:00,65.258,65.31,65.139,65.139,409
2025-07-16 10:00:00,65.138,65.194,65.093,65.137,400
2025-07-16 10:15:00,65.142,65.254,65.063,65.227,389
2025-07-16 10:30:00,65.229,65.325,65.145,65.147,373
2025-07-16 10:45:00,65.145,65.162,65.013,65.048,393
2025-07-16 11:00:00,65.041,65.094,64.885,64.9,446
2025-07-16 11:15:00,64.894,64.95,64.85,64.933,417
2025-07-16 11:30:00,64.929,64.938,64.816,64.854,377
2025-07-16 11:45:00,64.859,64.879,64.683,64.687,581
2025-07-16 12:00:00,64.683,64.81,64.634,64.689,615
2025-07-16 12:15:00,64.691,64.836,64.667,64.803,472
2025-07-16 12:30:00,64.8,64.896,64.734,64.85,566
2025-07-16 12:45:00,64.853,64.918,64.813,64.855,479
2025-07-16 13:00:00,64.86,65.101,64.682,64.76,1091
2025-07-16 13:15:00,64.759,64.86,64.613,64.64,721
2025-07-16 13:30:00,64.638,65.001,64.605,64.79,1024
2025-07-16 13:45:00,64.798,64.823,64.648,64.695,674
2025-07-16 14:00:00,64.7,64.793,64.665,64.734,696
2025-07-16 14:15:00,64.731,64.874,64.705,64.813,682
2025-07-16 14:30:00,64.818,64.818,64.422,64.69,1540
2025-07-16 14:45:00,64.689,64.866,64.536,64.71,1537
2025-07-16 15:00:00,64.715,64.825,64.574,64.785,1193
2025-07-16 15:15:00,64.789,64.997,64.591,64.757,1693
2025-07-16 15:30:00,64.763,64.784,64.559,64.702,1431
2025-07-16 15:45:00,64.711,64.986,64.659,64.861,1288
2025-07-16 16:00:00,64.857,65.023,64.756,64.898,975
2025-07-16 16:15:00,64.892,65.051,64.825,64.99,833
2025-07-16 16:30:00,64.996,65.13,64.899,65.082,705
2025-07-16 16:45:00,65.085,65.279,65.073,65.212,694
2025-07-16 17:00:00,65.213,65.428,65.189,65.404,629
2025-07-16 17:15:00,65.408,65.417,65.151,65.21,663
2025-07-16 17:30:00,65.206,65.297,65.085,65.248,602
2025-07-16 17:45:00,65.252,65.53,65.213,65.502,998
2025-07-16 18:00:00,65.501,65.604,65.455,65.474,673
2025-07-16 18:15:00,65.478,65.487,65.152,65.255,1069
2025-07-16 18:30:00,65.265,65.401,65.19,65.346,529
2025-07-16 18:45:00,65.35,65.58,65.333,65.487,318
2025-07-16 19:00:00,65.493,65.565,65.456,65.475,255
2025-07-16 19:15:00,65.472,65.487,65.326,65.35,169
2025-07-16 19:30:00,65.349,65.441,65.349,65.431,164
2025-07-16 19:45:00,65.433,65.523,65.386,65.496,270
2025-07-16 20:00:00,65.496,65.515,65.461,65.489,136
2025-07-16 20:15:00,65.487,65.497,65.401,65.422,151
2025-07-16 20:30:00,65.42,65.45,65.397,65.409,114
2025-07-16 22:00:00,65.314,65.351,65.295,65.326,26
