time,open,high,low,close,volume
2025-08-18 03:00:00,23802.74,23804.43,23801.88,23804.23,204
2025-08-18 03:15:00,23804.06,23805.42,23795.0,23795.31,264
2025-08-18 03:30:00,23795.51,23795.51,23782.51,23783.78,372
2025-08-18 03:45:00,23783.57,23790.22,23782.51,23784.22,303
2025-08-18 04:00:00,23784.04,23785.97,23772.55,23774.8,395
2025-08-18 04:15:00,23774.5,23783.19,23772.27,23782.36,312
2025-08-18 04:30:00,23782.05,23785.92,23779.06,23779.72,237
2025-08-18 04:45:00,23779.72,23781.78,23775.0,23775.48,363
2025-08-18 05:00:00,23775.72,23783.48,23773.72,23774.97,372
2025-08-18 05:15:00,23774.93,23779.21,23768.38,23770.04,364
2025-08-18 05:30:00,23770.56,23777.66,23770.25,23774.44,359
2025-08-18 05:45:00,23774.27,23782.45,23773.84,23778.77,296
2025-08-18 06:00:00,23778.55,23780.5,23754.96,23754.97,574
2025-08-18 06:15:00,23754.59,23755.66,23726.46,23731.05,712
2025-08-18 06:30:00,23730.77,23749.66,23696.24,23710.86,1015
2025-08-18 06:45:00,23710.9,23729.7,23703.55,23725.96,930
2025-08-18 07:00:00,23727.34,23741.46,23708.04,23721.83,1588
2025-08-18 07:15:00,23721.68,23739.68,23719.42,23723.51,1362
2025-08-18 07:30:00,23723.69,23731.24,23705.28,23727.69,1345
2025-08-18 07:45:00,23727.49,23734.26,23717.04,23731.09,980
2025-08-18 08:00:00,23730.71,23736.46,23695.86,23697.78,1949
2025-08-18 08:15:00,23697.29,23710.17,23672.79,23694.63,1546
2025-08-18 08:30:00,23694.29,23723.89,23688.53,23718.93,999
2025-08-18 08:45:00,23719.19,23719.9,23704.28,23706.5,910
2025-08-18 09:00:00,23706.54,23709.01,23694.58,23695.93,858
2025-08-18 09:15:00,23695.74,23696.4,23664.28,23676.16,1313
2025-08-18 09:30:00,23676.03,23691.47,23674.42,23686.98,822
2025-08-18 09:45:00,23686.74,23689.66,23679.57,23683.85,735
2025-08-18 10:00:00,23683.83,23698.77,23682.56,23693.21,741
2025-08-18 10:15:00,23693.47,23695.3,23681.8,23689.17,650
2025-08-18 10:30:00,23689.69,23712.76,23689.59,23712.69,632
2025-08-18 10:45:00,23712.29,23718.04,23709.79,23713.81,540
2025-08-18 11:00:00,23714.19,23716.96,23702.05,23703.36,758
2025-08-18 11:15:00,23703.06,23705.22,23686.12,23690.6,763
2025-08-18 11:30:00,23690.31,23690.71,23673.3,23676.97,699
2025-08-18 11:45:00,23677.21,23700.21,23677.21,23697.57,697
2025-08-18 12:00:00,23697.1,23697.17,23673.25,23687.04,1071
2025-08-18 12:15:00,23686.77,23698.3,23685.05,23698.06,665
2025-08-18 12:30:00,23697.8,23697.8,23679.7,23692.19,971
