time,open,high,low,close,volume
2026-02-09 00:30:00,213.583,213.615,213.373,213.416,1215
2026-02-09 00:45:00,213.415,213.601,213.355,213.529,1319
2026-02-09 01:00:00,213.522,213.554,213.222,213.233,1000
2026-02-09 01:15:00,213.232,213.265,212.934,212.97,1076
2026-02-09 01:30:00,212.97,212.97,212.592,212.868,1647
2026-02-09 01:45:00,212.86,213.121,212.86,213.034,1073
2026-02-09 02:00:00,213.029,213.205,213.006,213.169,1048
2026-02-09 02:15:00,213.162,213.263,213.12,213.26,666
2026-02-09 02:30:00,213.26,213.496,213.251,213.39,713
2026-02-09 02:45:00,213.396,213.434,213.247,213.346,599
2026-02-09 03:00:00,213.352,213.482,213.349,213.405,587
2026-02-09 03:15:00,213.404,213.441,213.325,213.418,516
2026-02-09 03:30:00,213.419,213.448,213.271,213.359,659
2026-02-09 03:45:00,213.358,213.362,213.28,213.321,574
2026-02-09 04:00:00,213.323,213.391,213.286,213.297,540
2026-02-09 04:15:00,213.297,213.323,213.097,213.103,577
2026-02-09 04:30:00,213.103,213.193,213.083,213.162,501
2026-02-09 04:45:00,213.162,213.221,213.12,213.157,432
2026-02-09 05:00:00,213.164,213.169,213.057,213.141,538
2026-02-09 05:15:00,213.141,213.281,213.114,213.231,543
2026-02-09 05:30:00,213.233,213.241,213.117,213.176,548
2026-02-09 05:45:00,213.176,213.217,213.082,213.211,526
2026-02-09 06:00:00,213.209,213.209,212.98,213.099,1457
2026-02-09 06:15:00,213.098,213.138,212.832,212.848,844
2026-02-09 06:30:00,212.844,212.984,212.81,212.913,1002
2026-02-09 06:45:00,212.917,213.129,212.877,213.104,857
2026-02-09 07:00:00,213.099,213.104,212.893,212.895,858
2026-02-09 07:15:00,212.902,212.934,212.577,212.607,931
2026-02-09 07:30:00,212.614,212.781,212.553,212.746,1079
2026-02-09 07:45:00,212.745,213.059,212.738,213.023,890
2026-02-09 08:00:00,213.024,213.132,212.889,213.01,1220
2026-02-09 08:15:00,213.01,213.195,212.997,213.062,1037
2026-02-09 08:30:00,213.064,213.108,212.95,213.012,940
2026-02-09 08:45:00,213.012,213.172,212.928,212.982,957
2026-02-09 09:00:00,212.979,213.129,212.906,212.994,940
2026-02-09 09:15:00,212.988,213.06,212.817,212.913,879
2026-02-09 09:30:00,212.912,213.005,212.866,212.991,798
2026-02-09 09:45:00,212.991,213.092,212.923,213.037,787
2026-02-09 10:00:00,213.037,213.161,212.991,213.122,868
2026-02-09 10:15:00,213.124,213.158,213.072,213.096,755
2026-02-09 10:30:00,213.091,213.209,212.97,213.199,931
2026-02-09 10:45:00,213.197,213.308,213.156,213.219,893
2026-02-09 11:00:00,213.215,213.319,213.053,213.311,1352
2026-02-09 11:15:00,213.312,213.332,213.122,213.18,885
2026-02-09 11:30:00,213.18,213.386,213.144,213.375,1008
2026-02-09 11:45:00,213.383,213.443,213.29,213.367,1132
2026-02-09 12:00:00,213.372,213.49,213.253,213.418,943
2026-02-09 12:15:00,213.417,213.63,213.369,213.604,862
2026-02-09 12:30:00,213.606,213.652,213.522,213.6,746
2026-02-09 12:45:00,213.6,213.711,213.557,213.611,922
2026-02-09 13:00:00,213.61,213.628,213.222,213.225,1340
2026-02-09 13:15:00,213.228,213.257,213.042,213.163,1210
2026-02-09 13:30:00,213.154,213.18,213.048,213.101,1084
2026-02-09 13:45:00,213.097,213.111,212.82,212.849,1033
2026-02-09 14:00:00,212.845,212.87,212.219,212.262,1558
2026-02-09 14:15:00,212.268,212.465,212.172,212.333,1624
2026-02-09 14:30:00,212.34,212.385,212.116,212.261,1596
2026-02-09 14:45:00,212.255,212.479,212.162,212.306,1270
2026-02-09 15:00:00,212.3,212.887,212.287,212.836,1412
2026-02-09 15:15:00,212.832,213.025,212.796,212.892,1006
2026-02-09 15:30:00,212.891,213.159,212.79,213.009,1193
2026-02-09 15:45:00,213.008,213.242,212.883,213.159,1119
2026-02-09 16:00:00,213.166,213.38,213.158,213.337,983
2026-02-09 16:15:00,213.336,213.36,213.2,213.282,844
2026-02-09 16:30:00,213.282,213.357,213.228,213.334,682
2026-02-09 16:45:00,213.337,213.36,213.258,213.292,627
2026-02-09 17:00:00,213.295,213.326,213.164,213.199,619
2026-02-09 17:15:00,213.199,213.316,213.186,213.305,540
2026-02-09 17:30:00,213.303,213.369,213.259,213.27,518
2026-02-09 17:45:00,213.27,213.333,213.216,213.225,528
2026-02-09 18:00:00,213.222,213.237,213.16,213.237,573
2026-02-09 18:15:00,213.234,213.332,213.182,213.326,685
2026-02-09 18:30:00,213.321,213.398,213.291,213.345,572
2026-02-09 18:45:00,213.343,213.457,213.322,213.419,528
2026-02-09 19:00:00,213.418,213.437,213.321,213.377,517
2026-02-09 19:15:00,213.38,213.417,213.342,213.409,457
2026-02-09 19:30:00,213.408,213.412,213.216,213.225,642
2026-02-09 19:45:00,213.225,213.282,213.185,213.267,626
2026-02-09 20:00:00,213.272,213.354,213.267,213.321,438
2026-02-09 20:15:00,213.321,213.347,213.263,213.293,483
2026-02-09 20:30:00,213.293,213.416,213.288,213.414,501
2026-02-09 20:45:00,213.415,213.471,213.376,213.428,489
2026-02-09 21:00:00,213.421,213.508,213.418,213.463,385
2026-02-09 21:15:00,213.463,213.469,213.371,213.435,272
2026-02-09 21:30:00,213.432,213.532,213.426,213.512,313
2026-02-09 21:45:00,213.514,213.541,213.443,213.445,317
2026-02-09 22:00:00,213.353,213.353,213.232,213.232,10
2026-02-09 22:15:00,213.228,213.437,213.228,213.286,294
2026-02-09 22:30:00,213.285,213.43,213.244,213.38,393
2026-02-09 22:45:00,213.38,213.438,213.365,213.408,297
2026-02-09 23:00:00,213.468,213.619,213.414,213.516,496
2026-02-09 23:15:00,213.517,213.614,213.464,213.607,413
2026-02-09 23:30:00,213.607,213.633,213.571,213.579,383
2026-02-09 23:45:00,213.578,213.649,213.557,213.603,465
2026-02-10 00:00:00,213.61,213.705,213.543,213.625,659
2026-02-10 00:15:00,213.622,213.697,213.589,213.665,500
2026-02-10 00:30:00,213.665,213.713,213.605,213.606,559
2026-02-10 00:45:00,213.605,213.667,213.368,213.396,965
2026-02-10 01:00:00,213.394,213.433,213.199,213.21,853
2026-02-10 01:15:00,213.207,213.389,213.198,213.343,720
2026-02-10 01:30:00,213.337,213.376,213.223,213.245,775
2026-02-10 01:45:00,213.245,213.257,213.071,213.106,805
2026-02-10 02:00:00,213.112,213.215,213.097,213.12,675
2026-02-10 02:15:00,213.127,213.249,213.118,213.157,563
2026-02-10 02:30:00,213.161,213.161,212.862,212.97,768
2026-02-10 02:45:00,212.965,212.968,212.693,212.746,869
2026-02-10 03:00:00,212.744,212.77,212.583,212.627,805
2026-02-10 03:15:00,212.627,212.687,212.573,212.587,599
2026-02-10 03:30:00,212.591,212.604,212.405,212.417,666
2026-02-10 03:45:00,212.417,212.571,212.392,212.567,552
2026-02-10 04:00:00,212.561,212.566,212.438,212.458,544
2026-02-10 04:15:00,212.453,212.562,212.407,212.461,555
2026-02-10 04:30:00,212.462,212.499,212.372,212.38,525
2026-02-10 04:45:00,212.38,212.444,212.3,212.414,533
2026-02-10 05:00:00,212.418,212.441,212.306,212.308,490
2026-02-10 05:15:00,212.314,212.33,212.161,212.209,530
2026-02-10 05:30:00,212.21,212.385,212.203,212.282,578
2026-02-10 05:45:00,212.288,212.434,212.252,212.418,581
2026-02-10 06:00:00,212.413,212.488,212.358,212.359,732
2026-02-10 06:15:00,212.352,212.475,212.314,212.466,638
2026-02-10 06:30:00,212.459,212.517,212.361,212.398,608
2026-02-10 06:45:00,212.397,212.502,212.316,212.469,635
2026-02-10 07:00:00,212.474,212.545,212.327,212.49,736
2026-02-10 07:15:00,212.486,212.546,212.428,212.526,591
2026-02-10 07:30:00,212.53,212.604,212.506,212.598,654
2026-02-10 07:45:00,212.598,212.727,212.579,212.679,770
2026-02-10 08:00:00,212.674,212.754,212.572,212.591,928
2026-02-10 08:15:00,212.597,212.674,212.508,212.626,777
2026-02-10 08:30:00,212.625,212.758,212.571,212.714,724
2026-02-10 08:45:00,212.715,212.778,212.555,212.646,761
2026-02-10 09:00:00,212.639,212.681,212.485,212.488,802
2026-02-10 09:15:00,212.488,212.581,212.327,212.366,810
2026-02-10 09:30:00,212.366,212.377,212.219,212.236,744
2026-02-10 09:45:00,212.237,212.333,212.168,212.24,747
2026-02-10 10:00:00,212.238,212.253,212.111,212.133,781
2026-02-10 10:15:00,212.135,212.135,211.99,212.036,762
2026-02-10 10:30:00,212.034,212.106,211.918,211.92,727
2026-02-10 10:45:00,211.919,212.032,211.885,211.986,700
2026-02-10 11:00:00,211.986,212.085,211.944,212.058,654
2026-02-10 11:15:00,212.06,212.084,212.0,212.048,574
2026-02-10 11:30:00,212.049,212.145,212.036,212.13,567
2026-02-10 11:45:00,212.129,212.169,212.097,212.143,502
2026-02-10 12:00:00,212.138,212.297,212.039,212.296,717
2026-02-10 12:15:00,212.297,212.415,212.183,212.27,821
2026-02-10 12:30:00,212.265,212.265,212.119,212.234,822
2026-02-10 12:45:00,212.23,212.501,212.207,212.356,1163
2026-02-10 13:00:00,212.365,212.441,212.079,212.079,1016
2026-02-10 13:15:00,212.085,212.136,211.988,212.039,814
2026-02-10 13:30:00,212.034,212.059,211.769,211.911,1335
2026-02-10 13:45:00,211.912,211.977,211.638,211.72,1009
2026-02-10 14:00:00,211.722,211.765,211.572,211.638,1019
2026-02-10 14:15:00,211.631,211.645,211.382,211.422,1092
2026-02-10 14:30:00,211.421,211.488,210.971,211.053,1327
2026-02-10 14:45:00,211.053,211.204,210.938,211.159,1204
2026-02-10 15:00:00,211.156,211.166,210.854,210.93,1164
2026-02-10 15:15:00,210.923,210.923,210.679,210.831,1153
2026-02-10 15:30:00,210.832,210.942,210.614,210.676,1167
2026-02-10 15:45:00,210.669,210.901,210.612,210.861,1517
2026-02-10 16:00:00,210.855,210.883,210.613,210.657,1182
2026-02-10 16:15:00,210.655,210.78,210.54,210.779,958
2026-02-10 16:30:00,210.772,210.794,210.621,210.717,857
2026-02-10 16:45:00,210.716,210.87,210.714,210.807,818
2026-02-10 17:00:00,210.801,210.835,210.639,210.655,739
2026-02-10 17:15:00,210.657,210.681,210.614,210.664,661
2026-02-10 17:30:00,210.659,210.793,210.648,210.789,703
2026-02-10 17:45:00,210.787,210.803,210.622,210.778,725
2026-02-10 18:00:00,210.781,210.802,210.732,210.769,585
2026-02-10 18:15:00,210.766,210.833,210.736,210.798,649
2026-02-10 18:30:00,210.794,210.848,210.753,210.761,675
2026-02-10 18:45:00,210.764,210.832,210.759,210.79,629
2026-02-10 19:00:00,210.789,210.878,210.765,210.849,543
2026-02-10 19:15:00,210.849,210.867,210.773,210.781,523
2026-02-10 19:30:00,210.786,210.861,210.761,210.821,509
2026-02-10 19:45:00,210.822,210.824,210.677,210.74,569
2026-02-10 20:00:00,210.735,210.756,210.684,210.696,499
2026-02-10 20:15:00,210.696,210.716,210.682,210.689,451
2026-02-10 20:30:00,210.686,210.715,210.575,210.592,431
2026-02-10 20:45:00,210.592,210.643,210.486,210.535,571
2026-02-10 21:00:00,210.549,210.575,210.46,210.511,404
2026-02-10 21:15:00,210.525,210.547,210.484,210.497,204
2026-02-10 21:30:00,210.496,210.56,210.496,210.558,227
2026-02-10 21:45:00,210.558,210.624,210.551,210.573,289
2026-02-10 22:00:00,210.507,210.556,210.459,210.531,41
2026-02-10 22:15:00,210.534,210.573,210.419,210.481,154
2026-02-10 22:30:00,210.494,210.59,210.475,210.585,135
2026-02-10 22:45:00,210.585,210.599,210.522,210.581,202
2026-02-10 23:00:00,210.581,210.614,210.527,210.599,312
2026-02-10 23:15:00,210.599,210.665,210.581,210.647,276
2026-02-10 23:30:00,210.648,210.653,210.587,210.612,268
2026-02-10 23:45:00,210.613,210.628,210.6,210.624,243
2026-02-11 00:00:00,210.624,210.644,210.506,210.555,497
2026-02-11 00:15:00,210.555,210.576,210.364,210.379,487
2026-02-11 00:30:00,210.38,210.389,210.144,210.147,716
2026-02-11 00:45:00,210.154,210.214,210.08,210.106,983
2026-02-11 01:00:00,210.103,210.174,209.979,210.023,1116
2026-02-11 01:15:00,210.018,210.058,209.937,210.042,691
2026-02-11 01:30:00,210.042,210.124,209.996,210.089,718
2026-02-11 01:45:00,210.095,210.154,210.069,210.093,486
2026-02-11 02:00:00,210.096,210.103,209.995,210.034,574
2026-02-11 02:15:00,210.034,210.081,209.951,210.058,696
2026-02-11 02:30:00,210.06,210.075,209.842,210.006,820
2026-02-11 02:45:00,210.007,210.016,209.801,209.805,657
2026-02-11 03:00:00,209.805,209.889,209.779,209.864,640
2026-02-11 03:15:00,209.866,209.964,209.844,209.944,528
2026-02-11 03:30:00,209.94,209.97,209.832,209.877,539
2026-02-11 03:45:00,209.876,209.919,209.826,209.836,526
2026-02-11 04:00:00,209.837,209.871,209.769,209.786,407
2026-02-11 04:15:00,209.786,209.788,209.569,209.581,603
2026-02-11 04:30:00,209.58,209.608,209.48,209.516,527
2026-02-11 04:45:00,209.516,209.603,209.392,209.422,495
2026-02-11 05:00:00,209.421,209.506,209.343,209.433,612
2026-02-11 05:15:00,209.434,209.477,209.292,209.293,528
2026-02-11 05:30:00,209.292,209.321,209.127,209.316,771
2026-02-11 05:45:00,209.314,209.33,209.17,209.205,585
2026-02-11 06:00:00,209.202,209.223,208.973,209.098,978
2026-02-11 06:15:00,209.098,209.252,208.995,209.226,853
2026-02-11 06:30:00,209.226,209.33,209.117,209.284,867
2026-02-11 06:45:00,209.287,209.366,209.161,209.341,759
2026-02-11 07:00:00,209.341,209.434,209.258,209.354,937
2026-02-11 07:15:00,209.361,209.474,209.271,209.425,870
2026-02-11 07:30:00,209.43,209.537,209.382,209.497,771
2026-02-11 07:45:00,209.499,209.549,209.332,209.351,855
2026-02-11 08:00:00,209.355,209.544,209.29,209.499,1156
2026-02-11 08:15:00,209.501,209.672,209.437,209.656,1054
2026-02-11 08:30:00,209.661,209.712,209.619,209.679,913
2026-02-11 08:45:00,209.683,209.733,209.598,209.687,758
2026-02-11 09:00:00,209.691,209.877,209.675,209.864,782
2026-02-11 09:15:00,209.864,210.001,209.835,209.908,710
2026-02-11 09:30:00,209.901,209.948,209.758,209.761,771
2026-02-11 09:45:00,209.756,209.83,209.666,209.821,790
2026-02-11 10:00:00,209.82,209.855,209.744,209.755,745
2026-02-11 10:15:00,209.752,209.833,209.738,209.768,667
2026-02-11 10:30:00,209.767,210.114,209.717,210.02,903
2026-02-11 10:45:00,210.021,210.17,209.994,210.124,803
2026-02-11 11:00:00,210.129,210.156,210.067,210.068,666
2026-02-11 11:15:00,210.065,210.229,210.061,210.185,607
2026-02-11 11:30:00,210.185,210.196,210.082,210.17,763
2026-02-11 11:45:00,210.173,210.22,210.112,210.144,690
2026-02-11 12:00:00,210.149,210.225,210.11,210.17,847
2026-02-11 12:15:00,210.17,210.204,210.066,210.072,817
2026-02-11 12:30:00,210.07,210.211,210.054,210.172,782
2026-02-11 12:45:00,210.173,210.174,210.05,210.111,787
2026-02-11 13:00:00,210.119,210.166,210.1,210.139,759
2026-02-11 13:15:00,210.137,210.276,210.083,210.088,924
2026-02-11 13:30:00,210.093,210.509,208.633,209.393,8244
2026-02-11 13:45:00,209.402,209.948,209.388,209.848,3708
2026-02-11 14:00:00,209.842,210.11,209.778,209.919,2035
2026-02-11 14:15:00,209.913,210.077,209.845,210.056,1429
2026-02-11 14:30:00,210.049,210.049,209.783,209.903,1768
2026-02-11 14:45:00,209.899,209.922,209.375,209.538,1760
2026-02-11 15:00:00,209.541,209.607,209.259,209.323,1767
2026-02-11 15:15:00,209.329,209.552,209.299,209.299,1599
2026-02-11 15:30:00,209.294,209.45,209.179,209.389,1443
2026-02-11 15:45:00,209.393,209.522,209.341,209.43,1580
2026-02-11 16:00:00,209.433,209.479,209.182,209.319,1323
2026-02-11 16:15:00,209.318,209.395,209.161,209.161,1047
2026-02-11 16:30:00,209.156,209.215,209.062,209.143,1043
2026-02-11 16:45:00,209.142,209.15,208.778,208.787,1104
2026-02-11 17:00:00,208.781,208.879,208.675,208.758,1142
2026-02-11 17:15:00,208.751,208.838,208.639,208.682,1120
2026-02-11 17:30:00,208.672,208.688,208.431,208.667,1217
2026-02-11 17:45:00,208.673,208.793,208.636,208.723,882
2026-02-11 18:00:00,208.725,208.741,208.624,208.691,903
2026-02-11 18:15:00,208.691,208.706,208.599,208.642,698
2026-02-11 18:30:00,208.639,208.65,208.333,208.333,720
2026-02-11 18:45:00,208.333,208.353,208.172,208.286,779
2026-02-11 19:00:00,208.278,208.488,208.271,208.387,906
